Land Constraint,Production Scenario,LUC Type,Subtype,Area converted
Concessions,B50,Forests,Degraded Dryland Forest,1244712
Concessions,B50,Forests,Degraded Peat Swamp Forest,489900
Concessions,B50,Forests,Primary Dryland Forest,358300
Concessions,B50,Forests,Primary Peat Swamp Forest,146100
Concessions,B50,Forests,Forest Plantation,111700
Concessions,B50,Forests,Degraded Mangrove Forest,69600
Concessions,B50,Forests,Primary Mangrove Forest,5700
Concessions,B50,"Wetlands, Shrubs, Grasslands",Shrub,799400
Concessions,B50,"Wetlands, Shrubs, Grasslands",Wetland Shrub,733200
Concessions,B50,"Wetlands, Shrubs, Grasslands",Swamp,75300
Concessions,B50,"Wetlands, Shrubs, Grasslands",Bare Land,57400
Concessions,B50,"Wetlands, Shrubs, Grasslands",Savana,21100
Concessions,B50,Agriculture,Mixed Cultivation & Shrub,1938100
Concessions,B50,Agriculture,Estate Crops,1498500
Concessions,B50,Agriculture,Dry Cultivation,285700
Concessions,B50,Rice,Rice,119500
Concessions,B40,Forests,Degraded Dryland Forest,924200
Concessions,B40,Forests,Primary Dryland Forest,212900
Concessions,B40,Forests,Degraded Peat Swamp Forest,193100
Concessions,B40,Forests,Forest Plantation,88000
Concessions,B40,Forests,Degraded Mangrove Forest,45900
Concessions,B40,Forests,Primary Peat Swamp Forest,40300
Concessions,B40,Forests,Primary Mangrove Forest,3500
Concessions,B40,"Wetlands, Shrubs, Grasslands",Shrub,604000
Concessions,B40,"Wetlands, Shrubs, Grasslands",Wetland Shrub,555759
Concessions,B40,"Wetlands, Shrubs, Grasslands",Swamp,43400
Concessions,B40,"Wetlands, Shrubs, Grasslands",Bare Land,33400
Concessions,B40,"Wetlands, Shrubs, Grasslands",Savana,20500
Concessions,B40,Agriculture,Mixed Cultivation & Shrub,1487700
Concessions,B40,Agriculture,Estate Crops,1218700
Concessions,B40,Agriculture,Dry Cultivation,232300
Concessions,B40,Rice,Rice,108600
Concessions,B35,Forests,Degraded Dryland Forest,837100
Concessions,B35,Forests,Primary Dryland Forest,187600
Concessions,B35,Forests,Degraded Peat Swamp Forest,141300
Concessions,B35,Forests,Forest Plantation,80100
Concessions,B35,Forests,Degraded Mangrove Forest,41200
Concessions,B35,Forests,Primary Peat Swamp Forest,31800
Concessions,B35,Forests,Primary Mangrove Forest,2700
Concessions,B35,"Wetlands, Shrubs, Grasslands",Shrub,510900
Concessions,B35,"Wetlands, Shrubs, Grasslands",Wetland Shrub,361900
Concessions,B35,"Wetlands, Shrubs, Grasslands",Swamp,36900
Concessions,B35,"Wetlands, Shrubs, Grasslands",Bare Land,26700
Concessions,B35,"Wetlands, Shrubs, Grasslands",Savana,19300
Concessions,B35,Agriculture,Mixed Cultivation & Shrub,1306488
Concessions,B35,Agriculture,Estate Crops,973600
Concessions,B35,Agriculture,Dry Cultivation,204000
Concessions,B35,Rice,Rice,87400
Open Development,B50,Forests,Forest Plantation,666407
Open Development,B50,Forests,Degraded Dryland Forest,304700
Open Development,B50,Forests,Primary Dryland Forest,64200
Open Development,B50,Forests,Degraded Mangrove Forest,29600
Open Development,B50,Forests,Degraded Peat Swamp Forest,18000
Open Development,B50,Forests,Primary Peat Swamp Forest,4000
Open Development,B50,Forests,Primary Mangrove Forest,1300
Open Development,B50,"Wetlands, Shrubs, Grasslands",Shrub,316900
Open Development,B50,"Wetlands, Shrubs, Grasslands",Wetland Shrub,147500
Open Development,B50,"Wetlands, Shrubs, Grasslands",Swamp,26400
Open Development,B50,"Wetlands, Shrubs, Grasslands",Savana,18900
Open Development,B50,"Wetlands, Shrubs, Grasslands",Bare Land,9800
Open Development,B50,Agriculture,Estate Crops,1816800
Open Development,B50,Agriculture,Mixed Cultivation & Shrub,1678700
Open Development,B50,Agriculture,Dry Cultivation,743100
Open Development,B50,Rice,Rice,2700900
Open Development,B40,Forests,Degraded Dryland Forest,304700
Open Development,B40,Forests,Forest Plantation,207800
Open Development,B40,Forests,Primary Dryland Forest,64200
Open Development,B40,Forests,Degraded Mangrove Forest,29600
Open Development,B40,Forests,Degraded Peat Swamp Forest,18000
Open Development,B40,Forests,Primary Peat Swamp Forest,4000
Open Development,B40,Forests,Primary Mangrove Forest,1300
Open Development,B40,"Wetlands, Shrubs, Grasslands",Shrub,316900
Open Development,B40,"Wetlands, Shrubs, Grasslands",Wetland Shrub,147500
Open Development,B40,"Wetlands, Shrubs, Grasslands",Swamp,26400
Open Development,B40,"Wetlands, Shrubs, Grasslands",Savana,18900
Open Development,B40,"Wetlands, Shrubs, Grasslands",Bare Land,9800
Open Development,B40,Agriculture,Mixed Cultivation & Shrub,1678700
Open Development,B40,Agriculture,Estate Crops,873200
Open Development,B40,Agriculture,Dry Cultivation,743100
Open Development,B40,Rice,Rice,1867461
Open Development,B35,Forests,Degraded Dryland Forest,233200
Open Development,B35,Forests,Forest Plantation,207800
Open Development,B35,Forests,Primary Dryland Forest,42500
Open Development,B35,Forests,Degraded Mangrove Forest,17400
Open Development,B35,Forests,Degraded Peat Swamp Forest,13300
Open Development,B35,Forests,Primary Peat Swamp Forest,2600
Open Development,B35,Forests,Primary Mangrove Forest,800
Open Development,B35,"Wetlands, Shrubs, Grasslands",Shrub,232700
Open Development,B35,"Wetlands, Shrubs, Grasslands",Wetland Shrub,114200
Open Development,B35,"Wetlands, Shrubs, Grasslands",Swamp,16400
Open Development,B35,"Wetlands, Shrubs, Grasslands",Savana,10500
Open Development,B35,"Wetlands, Shrubs, Grasslands",Bare Land,7100
Open Development,B35,Agriculture,Mixed Cultivation & Shrub,1246544
Open Development,B35,Agriculture,Estate Crops,873200
Open Development,B35,Agriculture,Dry Cultivation,743100
Open Development,B35,Rice,Rice,1463700
Forest Protection,B50,"Wetlands, Shrubs, Grasslands",Shrub,312900
Forest Protection,B50,"Wetlands, Shrubs, Grasslands",Wetland Shrub,134500
Forest Protection,B50,"Wetlands, Shrubs, Grasslands",Swamp,24800
Forest Protection,B50,"Wetlands, Shrubs, Grasslands",Savana,18000
Forest Protection,B50,"Wetlands, Shrubs, Grasslands",Bare Land,9600
Forest Protection,B50,Agriculture,Mixed Cultivation & Shrub,1879188
Forest Protection,B50,Agriculture,Dry Cultivation,1855200
Forest Protection,B50,Agriculture,Estate Crops,1727300
Forest Protection,B50,Rice,Rice,2359400
Forest Protection,B40,"Wetlands, Shrubs, Grasslands",Shrub,312900
Forest Protection,B40,"Wetlands, Shrubs, Grasslands",Wetland Shrub,134500
Forest Protection,B40,"Wetlands, Shrubs, Grasslands",Swamp,24800
Forest Protection,B40,"Wetlands, Shrubs, Grasslands",Savana,18000
Forest Protection,B40,"Wetlands, Shrubs, Grasslands",Bare Land,9600
Forest Protection,B40,Agriculture,Mixed Cultivation & Shrub,1665900
Forest Protection,B40,Agriculture,Estate Crops,902027
Forest Protection,B40,Agriculture,Dry Cultivation,723900
Forest Protection,B40,Rice,Rice,2359400
Forest Protection,B35,"Wetlands, Shrubs, Grasslands",Shrub,312900
Forest Protection,B35,"Wetlands, Shrubs, Grasslands",Wetland Shrub,134500
Forest Protection,B35,"Wetlands, Shrubs, Grasslands",Swamp,24800
Forest Protection,B35,"Wetlands, Shrubs, Grasslands",Savana,18000
Forest Protection,B35,"Wetlands, Shrubs, Grasslands",Bare Land,9600
Forest Protection,B35,Agriculture,Mixed Cultivation & Shrub,1665900
Forest Protection,B35,Agriculture,Estate Crops,848800
Forest Protection,B35,Agriculture,Dry Cultivation,723900
Forest Protection,B35,Rice,Rice,1521119
