Land Constraint,Production Scenario,LUC Type,Subtype,Area Converted
Concessions,Exporter,Forests,Degraded Peat Swamp Forest,235700
Concessions,Exporter,Forests,Degraded Dryland Forest,209300
Concessions,Exporter,Forests,Primary Peat Swamp Forest,123200
Concessions,Exporter,Forests,Primary Dryland Forest,112400
Concessions,Exporter,Forests,Forest Plantation,79500
Concessions,Exporter,Forests,Degraded Mangrove Forest,23300
Concessions,Exporter,Forests,Primary Mangrove Forest,19300
Concessions,Exporter,"Grasslands, Wetlands, & Shrub",Wetland Shrub,508701
Concessions,Exporter,"Grasslands, Wetlands, & Shrub",Swamp,219400
Concessions,Exporter,"Grasslands, Wetlands, & Shrub",Savana,200200
Concessions,Exporter,"Grasslands, Wetlands, & Shrub",Shrub,148900
Concessions,Exporter,"Grasslands, Wetlands, & Shrub",Bare Land,9700
Concessions,Exporter,Agriculture,Mixed Cultivation & Shrub,87600
Concessions,Exporter,Agriculture,Estate Crops,80800
Concessions,Exporter,Agriculture,Dry Cultivation,21100
Concessions,Exporter,Oil Palm,Oil Palm,170500
Concessions,Self-sufficiency,Forests,Degraded Peat Swamp Forest,98900
Concessions,Self-sufficiency,Forests,Degraded Dryland Forest,89439
Concessions,Self-sufficiency,Forests,Primary Dryland Forest,44900
Concessions,Self-sufficiency,Forests,Primary Peat Swamp Forest,29700
Concessions,Self-sufficiency,Forests,Forest Plantation,28700
Concessions,Self-sufficiency,Forests,Primary Mangrove Forest,4900
Concessions,Self-sufficiency,Forests,Degraded Mangrove Forest,3200
Concessions,Self-sufficiency,"Wetlands, Shrubs, Grasslands",Wetland Shrub,259000
Concessions,Self-sufficiency,"Wetlands, Shrubs, Grasslands",Shrub,100400
Concessions,Self-sufficiency,"Wetlands, Shrubs, Grasslands",Swamp,64600
Concessions,Self-sufficiency,"Wetlands, Shrubs, Grasslands",Savana,45500
Concessions,Self-sufficiency,"Wetlands, Shrubs, Grasslands",Bare Land,2900
Concessions,Self-sufficiency,Agriculture,Mixed Cultivation & Shrub,41300
Concessions,Self-sufficiency,Agriculture,Estate Crops,25700
Concessions,Self-sufficiency,Agriculture,Dry Cultivation,5200
Concessions,Self-sufficiency,Oil Palm,Oil Palm,91000
Concessions,Reduced Imports,Forests,Forest Plantation,300
Concessions,Reduced Imports,"Grasslands, Wetlands & Shrub",Shrub,50658
Concessions,Reduced Imports,Agriculture,Mixed Cultivation & Shrub,26600
Concessions,Reduced Imports,Agriculture,Estate Crops,3100
Concessions,Reduced Imports,Agriculture,Dry Cultivation,900
Concessions,Reduced Imports,Oil Palm,Oil Palm,2100
Open Development,Exporter,Forests,Degraded Peat Swamp Forest,170500
Open Development,Exporter,Forests,Degraded Dryland Forest,138200
Open Development,Exporter,Forests,Forest Plantation,98800
Open Development,Exporter,Forests,Primary Dryland Forest,61400
Open Development,Exporter,Forests,Primary Peat Swamp Forest,39500
Open Development,Exporter,Forests,Primary Mangrove Forest,14300
Open Development,Exporter,Forests,Degraded Mangrove Forest,11700
Open Development,Exporter,"Grasslands, Wetlands & Shrub",Wetland Shrub,519477
Open Development,Exporter,"Grasslands, Wetlands & Shrub",Savana,231800
Open Development,Exporter,"Grasslands, Wetlands & Shrub",Shrub,168200
Open Development,Exporter,"Grasslands, Wetlands & Shrub",Swamp,69200
Open Development,Exporter,"Grasslands, Wetlands & Shrub",Bare Land,8800
Open Development,Exporter,Agriculture,Mixed Cultivation & Shrub,284800
Open Development,Exporter,Agriculture,Estate Crops,138100
Open Development,Exporter,Agriculture,Dry Cultivation,32400
Open Development,Exporter,Oil Palm,Oil Palm,318900
Open Development,Self-sufficiency,Forests,Degraded Peat Swamp Forest,88100
Open Development,Self-sufficiency,Forests,Primary Dryland Forest,44900
Open Development,Self-sufficiency,Forests,Degraded Dryland Forest,37000
Open Development,Self-sufficiency,Forests,Forest Plantation,29400
Open Development,Self-sufficiency,Forests,Primary Peat Swamp Forest,21400
Open Development,Self-sufficiency,Forests,Primary Mangrove Forest,5100
Open Development,Self-sufficiency,Forests,Degraded Mangrove Forest,2900
Open Development,Self-sufficiency,"Grasslands, Wetlands & Shrub",Wetland Shrub,247600
Open Development,Self-sufficiency,"Grasslands, Wetlands & Shrub",Swamp,61100
Open Development,Self-sufficiency,"Grasslands, Wetlands & Shrub",Shrub,61100
Open Development,Self-sufficiency,"Grasslands, Wetlands & Shrub",Savana,42600
Open Development,Self-sufficiency,"Grasslands, Wetlands & Shrub",Bare Land,2900
Open Development,Self-sufficiency,Agriculture,Mixed Cultivation & Shrub,53428
Open Development,Self-sufficiency,Agriculture,Estate Crops,37100
Open Development,Self-sufficiency,Agriculture,Dry Cultivation,16300
Open Development,Self-sufficiency,Oil Palm,Oil Palm,183400
Open Development,Reduced Imports,Forests,Forest Plantation,300
Open Development,Reduced Imports,"Grasslands, Wetlands & Shrub",Shrub,45700
Open Development,Reduced Imports,Agriculture,Mixed Cultivation & Shrub,30200
Open Development,Reduced Imports,Agriculture,Estate Crops,3400
Open Development,Reduced Imports,Agriculture,Dry Cultivation,900
Open Development,Reduced Imports,Oil Palm,Oil Palm,3900
Forest Protection,Exporter,"Grasslands, Wetlands & Shrub",Wetland Shrub,545400
Forest Protection,Exporter,"Grasslands, Wetlands & Shrub",Savana,266200
Forest Protection,Exporter,"Grasslands, Wetlands & Shrub",Swamp,244700
Forest Protection,Exporter,"Grasslands, Wetlands & Shrub",Shrub,213000
Forest Protection,Exporter,"Grasslands, Wetlands & Shrub",Bare Land,13000
Forest Protection,Exporter,Agriculture,Mixed Cultivation & Shrub,432571
Forest Protection,Exporter,Oil Palm,Oil Palm,609600
Forest Protection,Self-sufficiency,"Grasslands, Wetlands & Shrub",Wetland Shrub,246200
Forest Protection,Self-sufficiency,"Grasslands, Wetlands & Shrub",Shrub,115156
Forest Protection,Self-sufficiency,"Grasslands, Wetlands & Shrub",Swamp,62400
Forest Protection,Self-sufficiency,"Grasslands, Wetlands & Shrub",Savana,36300
Forest Protection,Self-sufficiency,"Grasslands, Wetlands & Shrub",Bare Land,5900
Forest Protection,Self-sufficiency,Agriculture,Mixed Cultivation & Shrub,247400
Forest Protection,Self-sufficiency,Oil Palm,Oil Palm,251100
Forest Protection,Reduced Imports,"Grasslands, Wetlands & Shrub",Shrub,41800
Forest Protection,Reduced Imports,"Grasslands, Wetlands & Shrub",Savana,12839
Forest Protection,Reduced Imports,Agriculture,Mixed Cultivation & Shrub,26100
Forest Protection,Reduced Imports,Oil Palm,Oil Palm,3700
