PlotGroup,Scenario,Island_Group,kHa
Plot1,B35/ Reduced Imports,Sumatra,1019.9
Plot1,B35/ Reduced Imports,Kalimantan,3075
Plot1,B35/ Reduced Imports,Java,0
Plot1,B35/ Reduced Imports,Bali & Nusa Tenggara,0
Plot1,B35/ Reduced Imports,Maluku,33.9
Plot1,B35/ Reduced Imports,Papua,613.5
Plot1,B35/ Reduced Imports,Sulawesi,209
Plot1,B40/ Self-Sufficiency,Sumatra,1391.7
Plot1,B40/ Self-Sufficiency,Kalimantan,3744.4
Plot1,B40/ Self-Sufficiency,Java,0
Plot1,B40/ Self-Sufficiency,Bali & Nusa Tenggara,0
Plot1,B40/ Self-Sufficiency,Maluku,35.9
Plot1,B40/ Self-Sufficiency,Papua,1348
Plot1,B40/ Self-Sufficiency,Sulawesi,219.5
Plot1,B50/ Exporter,Sumatra,1621.1
Plot1,B50/ Exporter,Kalimantan,5560.4
Plot1,B50/ Exporter,Java,0
Plot1,B50/ Exporter,Bali & Nusa Tenggara,6.2
Plot1,B50/ Exporter,Maluku,54.3
Plot1,B50/ Exporter,Papua,2755.2
Plot1,B50/ Exporter,Sulawesi,229.8
Plot2,B35/ Reduced Imports,Sumatra,2561.9
Plot2,B35/ Reduced Imports,Kalimantan,1111.9
Plot2,B35/ Reduced Imports,Java,448.7
Plot2,B35/ Reduced Imports,Bali & Nusa Tenggara,56.2
Plot2,B35/ Reduced Imports,Maluku,95.7
Plot2,B35/ Reduced Imports,Papua,295.6
Plot2,B35/ Reduced Imports,Sulawesi,596.1
Plot2,B40/ Self-Sufficiency,Sumatra,3296.3
Plot2,B40/ Self-Sufficiency,Kalimantan,1439.5
Plot2,B40/ Self-Sufficiency,Java,553.8
Plot2,B40/ Self-Sufficiency,Bali & Nusa Tenggara,57.1
Plot2,B40/ Self-Sufficiency,Maluku,97.3
Plot2,B40/ Self-Sufficiency,Papua,866.7
Plot2,B40/ Self-Sufficiency,Sulawesi,657.4
Plot2,B50/ Exporter,Sumatra,5028.7
Plot2,B50/ Exporter,Kalimantan,1746.7
Plot2,B50/ Exporter,Java,684.7
Plot2,B50/ Exporter,Bali & Nusa Tenggara,117.2
Plot2,B50/ Exporter,Maluku,139.4
Plot2,B50/ Exporter,Papua,1600.7
Plot2,B50/ Exporter,Sulawesi,1110.3
Plot3,B35/ Reduced Imports,Sumatra,2716.8
Plot3,B35/ Reduced Imports,Kalimantan,1068.9
Plot3,B35/ Reduced Imports,Java,394.5
Plot3,B35/ Reduced Imports,Bali & Nusa Tenggara,45.1
Plot3,B35/ Reduced Imports,Maluku,73.5
Plot3,B35/ Reduced Imports,Papua,135.5
Plot3,B35/ Reduced Imports,Sulawesi,600.6
Plot3,B40/ Self-Sufficiency,Sumatra,3455.5
Plot3,B40/ Self-Sufficiency,Kalimantan,1284.1
Plot3,B40/ Self-Sufficiency,Java,525
Plot3,B40/ Self-Sufficiency,Bali & Nusa Tenggara,74.6
Plot3,B40/ Self-Sufficiency,Maluku,115.3
Plot3,B40/ Self-Sufficiency,Papua,637.6
Plot3,B40/ Self-Sufficiency,Sulawesi,928.9
Plot3,B50/ Exporter,Sumatra,5031.1
Plot3,B50/ Exporter,Kalimantan,1951.9
Plot3,B50/ Exporter,Java,525
Plot3,B50/ Exporter,Bali & Nusa Tenggara,182.2
Plot3,B50/ Exporter,Maluku,242.4
Plot3,B50/ Exporter,Papua,1234.2
Plot3,B50/ Exporter,Sulawesi,1364.9
