Land Constraint,LUC Type,Subtype,Area Converted
Forest Protection,"Grasslands, Wetlands & Shrub",Wetland Shrub,735600
Forest Protection,"Grasslands, Wetlands & Shrub",Shrub,613700
Forest Protection,"Grasslands, Wetlands & Shrub",Savana,360200
Forest Protection,"Grasslands, Wetlands & Shrub",Swamp,301008
Forest Protection,"Grasslands, Wetlands & Shrub",Bare Land,22300
Forest Protection,Agriculture,Mixed Cultivation & Shrub,4923259
Forest Protection,Agriculture,Dry Cultivation,1850800
Forest Protection,Agriculture,Estate Crops,1724800
Open Development,Forests,Forest Plantation,877600
Open Development,Forests,Degraded Dryland Forest,438700
Open Development,Forests,Degraded Peat Swamp Forest,308884
Open Development,Forests,Primary Dryland Forest,125600
Open Development,Forests,Primary Peat Swamp Forest,43500
Open Development,Forests,Degraded Mangrove Forest,40800
Open Development,Forests,Primary Mangrove Forest,15600
Open Development,"Grasslands, Wetlands & Shrub",Wetland Shrub,676300
Open Development,"Grasslands, Wetlands & Shrub",Shrub,472700
Open Development,"Grasslands, Wetlands & Shrub",Savana,250700
Open Development,"Grasslands, Wetlands & Shrub",Swamp,249100
Open Development,"Grasslands, Wetlands & Shrub",Bare Land,18600
Open Development,Agriculture,Mixed Cultivation & Shrub,3033934
Open Development,Agriculture,Estate Crops,1941200
Open Development,Agriculture,Dry Cultivation,1934500
Concessions,Forests,Degraded Peat Swamp Forest,304173
Concessions,Forests,Degraded Dryland Forest,209300
Concessions,Forests,Primary Peat Swamp Forest,123200
Concessions,Forests,Primary Dryland Forest,112400
Concessions,Forests,Forest Plantation,79500
Concessions,Forests,Degraded Mangrove Forest,23300
Concessions,Forests,Primary Mangrove Forest,19300
Concessions,"Grasslands, Wetlands & Shrub",Wetland Shrub,568600
Concessions,"Grasslands, Wetlands & Shrub",Swamp,244400
Concessions,"Grasslands, Wetlands & Shrub",Savana,200200
Concessions,"Grasslands, Wetlands & Shrub",Shrub,148900
Concessions,"Grasslands, Wetlands & Shrub",Bare Land,9700
Concessions,Agriculture,Mixed Cultivation & Shrub,87600
Concessions,Agriculture,Estate Crops,80800
Concessions,Agriculture,Dry Cultivation,21100
