PlotGroup,Scenario,Source,mmtCO2e,Min,Max
Plot1,B35,LUC - Primary Forest,262,1645,2434
Plot1,B35,LUC - Secondary Forest,925,1645,2434
Plot1,B35,LUC - Oil Palm,0,1645,2434
Plot1,B35,LUC - Rice,-4,1645,2434
Plot1,B35,LUC - Agriculture,384,1645,2434
Plot1,B35,LUC - Other,107,1645,2434
Plot1,B35,Peat Drainage,115,1645,2434
Plot1,B35,Clearing Fire,221,1645,2434
Plot1,B35,Production & Processing,28,1645,2434
Plot1,B35,Fuel Switching,-71,1645,2434
Plot1,B40,LUC - Primary Forest,301,1982,3152
Plot1,B40,LUC - Secondary Forest,1052,1982,3152
Plot1,B40,LUC - Oil Palm,0,1982,3152
Plot1,B40,LUC - Rice,-5,1982,3152
Plot1,B40,LUC - Agriculture,453,1982,3152
Plot1,B40,LUC - Other,124,1982,3152
Plot1,B40,Peat Drainage,208,1982,3152
Plot1,B40,Clearing Fire,399,1982,3152
Plot1,B40,Production & Processing,34,1982,3152
Plot1,B40,Fuel Switching,-98,1982,3152
Plot1,B50,LUC - Primary Forest,580,3041,4771
Plot1,B50,LUC - Secondary Forest,1620,3041,4771
Plot1,B50,LUC - Oil Palm,0,3041,4771
Plot1,B50,LUC - Rice,-6,3041,4771
Plot1,B50,LUC - Agriculture,578,3041,4771
Plot1,B50,LUC - Other,161,3041,4771
Plot1,B50,Peat Drainage,317,3041,4771
Plot1,B50,Clearing Fire,609,3041,4771
Plot1,B50,Production & Processing,47,3041,4771
Plot1,B50,Fuel Switching,-153,3041,4771
Plot2,B35,LUC - Primary Forest,56,509,996
Plot2,B35,LUC - Secondary Forest,227,509,996
Plot2,B35,LUC - Oil Palm,0,509,996
Plot2,B35,LUC - Rice,-68,509,996
Plot2,B35,LUC - Agriculture,342,509,996
Plot2,B35,LUC - Other,97,509,996
Plot2,B35,Peat Drainage,24,509,996
Plot2,B35,Clearing Fire,46,509,996
Plot2,B35,Production & Processing,29,509,996
Plot2,B35,Fuel Switching,-71,509,996
Plot2,B40,LUC - Primary Forest,85,674,1264
Plot2,B40,LUC - Secondary Forest,298,674,1264
Plot2,B40,LUC - Oil Palm,0,674,1264
Plot2,B40,LUC - Rice,-87,674,1264
Plot2,B40,LUC - Agriculture,426,674,1264
Plot2,B40,LUC - Other,110,674,1264
Plot2,B40,Peat Drainage,35,674,1264
Plot2,B40,Clearing Fire,67,674,1264
Plot2,B40,Production & Processing,35,674,1264
Plot2,B40,Fuel Switching,-98,674,1264
Plot2,B50,LUC - Primary Forest,85,835,1699
Plot2,B50,LUC - Secondary Forest,298,835,1699
Plot2,B50,LUC - Oil Palm,0,835,1699
Plot2,B50,LUC - Rice,-125,835,1699
Plot2,B50,LUC - Agriculture,560,835,1699
Plot2,B50,LUC - Other,237,835,1699
Plot2,B50,Peat Drainage,57,835,1699
Plot2,B50,Clearing Fire,109,835,1699
Plot2,B50,Production & Processing,47,835,1699
Plot2,B50,Fuel Switching,-153,835,1699
Plot3,B35,LUC - Primary Forest,0,246,615
Plot3,B35,LUC - Secondary Forest,0,246,615
Plot3,B35,LUC - Oil Palm,0,246,615
Plot3,B35,LUC - Rice,-71,246,615
Plot3,B35,LUC - Agriculture,420,246,615
Plot3,B35,LUC - Other,52,246,615
Plot3,B35,Peat Drainage,0,246,615
Plot3,B35,Clearing Fire,0,246,615
Plot3,B35,Production & Processing,29,246,615
Plot3,B35,Fuel Switching,-71,246,615
Plot3,B40,LUC - Primary Forest,0,170,613
Plot3,B40,LUC - Secondary Forest,0,170,613
Plot3,B40,LUC - Oil Palm,0,170,613
Plot3,B40,LUC - Rice,-123,170,613
Plot3,B40,LUC - Agriculture,428,170,613
Plot3,B40,LUC - Other,52,170,613
Plot3,B40,Peat Drainage,0,170,613
Plot3,B40,Clearing Fire,0,170,613
Plot3,B40,Production & Processing,34,170,613
Plot3,B40,Fuel Switching,-98,170,613
Plot3,B50,LUC - Primary Forest,0,193,863
Plot3,B50,LUC - Secondary Forest,0,193,863
Plot3,B50,LUC - Oil Palm,0,193,863
Plot3,B50,LUC - Rice,-123,193,863
Plot3,B50,LUC - Agriculture,553,193,863
Plot3,B50,LUC - Other,52,193,863
