Search,Authors,Article Title,Source Title,DOI,Abstract,Relevant?,Actually considers both food and fuel?,Country Context,Country grouping,Method,Method grouping - uses spatial analysis?,Forest,Forest grouping,,,,,,,
food (topic) and fuel (topic) and self-sufficiency (topic),"Markussen, MV; Pugesgaard, S; Oleskowicz-Popiel, P; Schmidt, JE; Ostergård, H",Net-Energy Analysis of Integrated Food and Bioenergy Systems Exemplified by a Model of a Self-Sufficient System of Dairy Farms,FRONTIERS IN ENERGY RESEARCH,10.3389/fenrg.2015.00049,"Agriculture is expected to contribute in substituting of fossil fuels in the future. This constitutes a paradox as agriculture depends heavily on fossil energy for providing fuel, fodder, nutrients and machinery. The aim of this paper is to investigate whether organic agriculture is capable of providing both food and surplus energy to the society as evaluated from a model study. We evaluated bioenergy technologies in a Danish dairy farming context in four different scenarios: 1) vegetable oil based on oilseed rape, 2) biogas based on cattle manure and grass-clover lays, 3) bioethanol from rye grain and whey, and 4) a combination of 1) and 2). When assessing the energetic net-contribution to society from bioenergy systems, two types of problems arise: How to aggregate non-equivalent types of energy services, and how to account for non-equivalent types of inputs and co-products from the farming? To avoid the first type, the net output of liquid fuels, electricity, useful heat and food were calculated separately. Further, to avoid the second type, all scenarios were designed to provide self-sufficiency with fodder and fertilizer and to utilize co-products within the system. This approach resulted in a transparent assessment of the net-contribution to society, which is easy to interpret. We conclude that if 20% of land is used for energy crops, farm-gate energy self-sufficiency can be achieved at the cost of 17% reduction in amount of food produced. These results demonstrate the strong limitations for (organic) agriculture in providing both food and surplus energy.",Y,Y,Denmark,Europe,"input-output, no spatial analysis",No,Not considered,Not included,,,,,,,
food (topic) and fuel (topic) and self-sufficiency (topic),"Khatiwada, D; Silveira, S",Scenarios for bioethanol production in Indonesia: How can we meet mandatory blending targets?,ENERGY,10.1016/j.energy.2016.12.073,"This study investigates the potential of bioethanol production and fossil fuel substitution using sugarcane feedstock in Indonesia. Current production practices, government biofuel policies (esp. mandatory blending targets), and sugar self-sufficiency are simulated to project the total potential of fuel ethanol and land requirements in the timeframe between 2015 and 2025. At present conditions, 450 million liters bioethanol can be annually produced in Indonesia using sugarcane molasses, a low-value co-product. This gives only a marginal contribution equivalent to 1% of the total gasoline consumption in 2015. The study examines the ethanol production potential after domestic sugar self-sufficiency is achieved by 2020. In 2015, 0.71 Mha land were required for sugarcane cultivation in order to meet a 2% blend mandate i.e. 0.68 billion liters (BL) ethanol using only cane-molasses. Juice ethanol is needed to meet the blending targets set for 2020 (i.e., 4.45 BL ethanol) and 2025 (i.e., 11.48 BL ethanol). This translates into sugarcane feedstock obtained from 1.60 Mha to 2.76 Mha land, respectively. The study also evaluates how improved resource efficiency can be achieved, exploring the bioelectricity production potential from sugarcane biomass, improvements in yields, and modernization of sugarcane mills. The results highlight how the use of established technologies and production methods can help develop agro-industries in the sugar ethanol segment of Indonesia. (C) 2016 Elsevier Ltd. All rights reserved.",Y,Y,Indonesia,Indonesia,"interpolation and extrapolation; analysis of the land and yield needed to meet demand in 4 scenarios, no spatial analysis",No,Considered,Included,,,,,,,
food (topic) and fuel (topic) and self-sufficiency (topic),"Balda, MC; Furubayashi, T; Nakata, T",A novel approach for analyzing the food-energy nexus through on-farm energy generation,CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,10.1007/s10098-016-1295-8,"To find a balance between food and energy security, this research presents the design of an energy self-sufficient farm in electricity, heat and bioethanol, which is produced by energy crops and agricultural residues. The farm proposed is evaluated by two models: Land Optimization and Cost Optimization. Due to the food-fuel debate over land and the detriment of food security, this research proposes utilizing the current abandoned land and increasing the food self-sufficiency ratio (FSSR) of the crops analyzed (rice, wheat and maize). The farm is optimized for several food and fuel demands, with a maximum farm unit size of 100 ha. The result is a myriad of farms of different sizes, each optimized for a certain demand. Subsequently, the amount and variety of such farms are optimized maximizing the food and fuel produced for each city of the case study (Miyagi Prefecture, Japan). The results suggest that the establishment of energy self-sufficient farms in the abandoned land can stimulate the biofuel industry and increase food security simultaneously. The FSSR of maize and wheat can be improved in approximately 10-25 and 7-9 %, respectively. The estimated bioethanol potential is 3.2-3.8 ML. Additionally, a surplus of electricity and heat, approximately 61-65 GWh and 60-165 MJ, respectively, is obtained. As the Land Optimization model proposed is sensitive to crop yields, a simultaneous evaluation is recommended. The results also suggest that the farms must be larger than 8 ha to achieve self-sufficiency; therefore, the policies involved need further evaluation.",Y,Y,Japan,Other Asia,"land optimization model, no spatial analysis",No,Not considered,Not included,,,,,,,
food (topic) and fuel (topic) and self-sufficiency (topic),"Yuan, KY; Lin, YC; Chiueh, PT; Lo, SL","Spatial optimization of the food, energy, and water nexus: A life cycle assessment-based approach",ENERGY POLICY,10.1016/j.enpol.2018.05.009,"Since the Bonn 2011 Conference, the Food-Energy-Water (FEW) nexus has become one of the most popular global research topics. Understanding and addressing the complex interactions between the FEW components is essential for sustainable development. This study proposes an environmental impact minimization model, which considers the FEW nexus under four climate change scenarios, to optimize the spatial distribution of three energy crops (rice, corn, and sugarcane). Life cycle assessment (LCA), linear programming, and a climate change simulation model are integrated to analyze appropriate bioenergy production rates while comparing the benefits of bioenergy with the current renewable energy policy in Taiwan. The major findings of LCA in this study indicate that electricity generation using bio-coal produced from rice straw is very beneficial to the environment. Considering the spatial characteristics of Taiwan, simulations from the spatial optimization model suggested that (a) the rice and corn cultivation areas should be increased in southern Taiwan for bio-coal and bioethanol production, in accordance with the food and feed priority policy; and (b) the rice cultivation area should be decreased across Taiwan, based on the water conservation policy. In addition, compared to solar power, the development of bioenergy can simultaneously enhance food and energy self-sufficiency.",Y,Y,Taiwan,Other Asia,"modeling, includes spatial analysis",Yes,"Considered, excludes forest",Included,,,,,,,
food (topic) and fuel (topic) and self-sufficiency (topic),"Valera, H; Agarwal, AK",India's growing Ethanol Blending Program and implications of scalable and sustainable Methanol Blending Program for transport sector,TRANSPORT POLICY,10.1016/j.tranpol.2025.01.007,"The government of India is exploring the possibility of introducing indigenous fuels into the transport sector to reduce petroleum imports. Considering this, an Ethanol Blending Program was launched. The government of India also outlined a vision for a methanol economy, and vehicle trials were performed to understand the challenges of introducing the Methanol Blending Program in India. A review of the Ethanol Blending Program vs. Methanol Blending Program is done in this study by systematically analysing various aspects such as production, the requirement of critical resources such as water, fuel storage issues, and the 'food vs. fuel' debate. India's struggle towards providing Indigenous feedstocks for ethanol production can be easily tackled by producing methanol from various abundant feedstocks such as high-ash coal, biomass, and municipal solid waste. However, coal-based methanol (brown methanol) may lead to a larger carbon footprint involving coal extraction and methanol conversion. Green methanol can be a game-changer for India's economy and greenhouse gas emissions. Ethanol has an edge over methanol since methanol has a wider flammability range and higher toxicity. Significant use of food and water stresses for the national ethanol blending program could be the main bottleneck for extending it further for a longer time in India. On the contrary, the methanol blending program would not affect India's food production architecture. Methanol could face challenges in public acceptance as it is perceived as dangerous to the human body. Flex-fuel vehicles must be deployed to implement the highly methanol-concentrated methanol-gasoline blends in parallel with gasoline-fueled vehicles. The government of India launched the Ethanol Blending Program with an ambitious aim of sharply reducing import bills for petroleum. However, it failed to influence India's economy for various reasons, including challenges in upscaling ethanol production from an economic vantage point. These challenges can be overcome by switching to methanol in place of ethanol. Overall, ethanol and methanol can replace gasoline in the transport sector. However, the Ethanol Blending Program has not benefited India in the past few years; and promoting the Methanol Blending Program in India makes sense from economic, strategic, sustainability, and self-sufficiency viewpoints, and this could be potentially a game-changer for the Indian economy. However, the carbon footprint from brown methanol may be high. Thus, green methanol needs to be made available for transport sector. Projects must be implemented in various parts of the country, and technical challenges must be resolved for implementing green methanol economy. Vehicle manufacturers need to develop methanol-compatible engines so that implementing a methanol blending program becomes a reality. Attractive policies need to be put in place to engage OEMs. India should consider phase-wise shift to methanol-fueled vehicles starting with vehicles using lower methanol-gasoline/methanol-diesel blends to eventually 100% methanol-powered vehicles in a phased manner.",Y,Y,India,Other Asia,"Policy comparison, no spatial analysis",No,Not considered,Not included,,,,,,,
food (topic) and fuel (topic) and self-sufficiency (topic),"Reddy, MG; Reddy, BS",Economics of Biofuel Production: A Case of Sorghum and Pearl Millet in India,BIOFUELS AND BIODIESEL,10.1007/978-1-0716-1323-8_19,"Reduction of fossil fuels at an alarming rate has attracted increasing attention to blending biofuels worldwide. India's energy demand is expected to grow at an annual rate of 4-5 times over the next couple of decades. With self-sufficiency levels in crude oil becoming a distant dream, there is growing interest to look out for alternative fuels and the biofuels are an important option for policy makers in India. In this context, this paper reviews the experiences in India in the last two decades with respect to biofuel cultivation and its impact on land use, environment, and the livelihoods of rural communities. The objective of this paper is to assess the economics of biofuel production using Sorghum and Pearl millet feedstocks in India using a Life Cycle Analysis (LCA) approach. Baseline study was conducted during the year 2013 in the Madhya Pradesh state of India covering five districts and 333 sample farmers to understand the farmers perception about the various issues related to the production of biofuels using Indian staple food crops Sorghum and Pearl millet. Empirical data from the multi-locational trials conducted during the years 2014-2015 and 2015-2016 in farmers' fields was used to conduct the LCA analysis. Sorghum and Pearl millet feedstocks which are rain-fed crops are considered for bioethanol production with different pretreatment methods. Net Energy Ratio (NER), Net Energy Balance (NEB), Net Carbon Balance (NCB), and % Carbon reduction were some of the key parameters used for analysis and the results are evaluated based on the environmental impacts through the Life Cycle Assessment at 5% blending. Findings reveal that, dilute alkali pretreatment process is most energy intensive due to consumption of alkali consumption. Whereas dilute acid pretreatment has higher conversion efficiency than the other pretreatment processes which is due to higher glucan and xylan conversion efficiencies. The study concludes that Sorghum feedstock is more energy intensive than Pearl millet feedstock due to higher water requirement and yield. Biofuels, either conventional or advanced, should not been couraged without a comprehensive outlook on the overall impact that will ultimately have on the society, environment, or on the countries' energy security. Efforts should be made toward encouragement of research and development in the field as well as in formulating a comprehensive and effective biofuel policy for India.",Y,Y,India,Other Asia,"Life Cycle Analysis, no spatial analysis",No,Not considered,Not included,,,,,,,
food (topic) and fuel (topic) and self-sufficiency (topic),"Binder, CR; Knoeri, C; Hecher, M","Modeling transition paths towards decentralized regional energy autonomy: the role of legislation, technology adoption, and resource availability",RAUMFORSCHUNG UND RAUMORDNUNG-SPATIAL RESEARCH AND PLANNING,10.1007/s13147-016-0396-5,"Decentralized energy systems are increasingly seen as a key factor for a transition towards a low-carbon, renewable energy based society. Within the transition process, regional demand and supply of renewable energy carriers have to be aligned, while considering the environmental conditions of the region. This paper focuses on the energy demand from buildings, which makes up 35% of the total energy demand. It presents an approach for aligning the regional supply potential of renewable energy carriers with the dynamics of regional energy demand from buildings. The approach consists of two components. First, a dynamic model simulates regional energy demand from buildings taking into consideration envelope renovation, legislative standards, and adoption of heating technologies. Second, the regional supply is estimated based on the technical maximum possible, taking into consideration competing uses and spatial limitations. We show a first application in the case of the energy region Weiz-Gleisdorf, Austria, which aims to achieve CO2 neutrality and energy self-sufficiency by the year 2050. Our results show that in the year 2050 (i) energy demand from buildings will decrease by 40-55%, depending on envelope renovation rates and legislative standards; (ii) demand for the different renewable energy carriers will be determined by the choice of heating technology; (iii) the demand for wood could be met from regional forest resources, as long as there are no additional demands for other purposes; (iv) the demand for biomass for district heating would require 5-10% of the agricultural area to be used for the production of energy plants rather than food; and (v) in contrast to other forms of energy, the demand for electricity will remain constant or increase slightly over time. This demand could only be regionally met if significant areas of facades or gardens are used for photovoltaic electricity production in addition to roofs. Overall we identified several issues related to spatial planning and a need for further research regarding the transition towards decentralized energy systems. First, if biomass for central district heating systems is to come from regional production, areas should be allocated for cultivating energy crops used specifically to produce fuel. Second, if wood is used for district heating purposes, the extent to which the import of wood from neighboring regions would be a useful ecological solution must be evaluated; this would involve extending regional energy planning beyond the typical jurisdictional boundaries while considering ecological issues.",Y,Y,Austria,Europe,"considers spatial elements scenario analysis of demand, production, needed crops, etc. to meet energy requirements (BAU, BAU constrained by legislation, rennovation, leg and ren)",Yes,Considered,Included,,,,,,,
food (topic) and energy (topic) and self-sufficiency (topic),"Kim, K; Burnett, K; Ghimire, J","Assessing the potential for food and energy self-sufficiency on the island of Kauai, Hawaii",FOOD POLICY,10.1016/j.foodpol.2015.04.009,"Food and energy security are major concerns in the Pacific and around the world. They are key planning priorities in the state of Hawaii as well. Approximately 90% of energy and food resources are imported to Hawaii from the continental USA or other parts of the world. While food and energy independence is a goal in many jurisdictions, assessment of the potential for local food and energy production is lacking. Research is needed to examine how agricultural lands can be used to meet food and energy demands, particularly on islands where land is limited. The contribution of this paper is the development of a community-orientated method for evaluating and prioritizing lands for food and energy self-sufficiency, based on local preferences and production possibilities. Based on a review of the literature, community meetings, and expert interviews, three scenarios were developed to assess food and energy production possibilities on Kauai. The first scenario considers maximum food production, the second assigns equal importance to food and energy production, and the third scenario maximizes energy production. Our analysis shows that while currently zoned agricultural lands on Kauai are capable of meeting the energy and nutritional needs of the current population under some conditions, ins not possible under the strictest definition of important agricultural lands. Some aspect or interpretation of the criteria will always have to be relaxed in order to fulfill energy and food-self sufficiency goals. This work broadens policy discussions regarding the preservation of agricultural lands on small islands. (C) 2015 Elsevier Ltd. All rights reserved.",Y,Y,United States,North America,"lit review; expert and community interviews to create three scenarios of only food production; food and energy production; and only energy production, includes spatial analysis",Yes,Not considered,Not included,,,,,,,
food (topic) and energy (topic) and self-sufficiency (topic),"Tavakoli-Hashjini, E; Piorr, A; Muller, K; Vicente-Vicente, JL",Potential Bioenergy Production from Miscanthus x giganteus in Brandenburg: Producing Bioenergy and Fostering Other Ecosystem Services while Ensuring Food Self-Sufficiency in the Berlin-Brandenburg Region,SUSTAINABILITY,10.3390/su12187731,"Miscanthus x giganteus (hereafter Miscanthus) is a perennial crop characterized by its high biomass production, low nutrient requirements, its ability for soil restoration, and its cultivation potential on marginal land. The development of the bioenergy sector in the state of Brandenburg (Germany), with maize as the dominant crop, has recently drawn attention to its negative environmental impacts, competition with food production, and uncertainties regarding its further development toward the state's bioenergy targets. This study aimed to estimate the potential bioenergy production in Brandenburg by cultivating Miscanthus only on marginal land, thereby avoiding competition with food production in the Berlin-Brandenburg city-region (i.e., foodshed), after using the Metropolitan Foodshed and Self-sufficiency Scenario (MFSS) model. We estimated that by 2030, the Berlin-Brandenburg foodshed would require around 1.13 million hectares to achieve 100% food self-sufficiency under the business as usual (BAU) scenario, and hence there would be around 390,000 ha land left for bioenergy production. Our results suggest that the region would require about 569,000 ha of land of maize to generate 58 PJ-the bioenergy target of the state of Brandenburg for 2030-which is almost 179,000 ha more than the available area for bioenergy production. However, under Miscanthus plantation, the required area would be reduced by 2.5 times to 232,000 ha. Therefore, Miscanthus could enable Brandenburg to meet its bioenergy target by 2030, while at the same time avoiding the trade-offs with food production, and also providing a potential for soil organic carbon (SOC) sequestration of around 255,200 t C yr-1, leading to an improvement in the soil fertility and other ecosystem services (e.g., biodiversity), compared with bioenergy generated from maize.",Y,Y,Germany,Europe,"estimating yield and area needed for silver grass and maize and comparing energy potential as well as carbon sequestration potential, includes spatial analysis",Yes,Not considered,Not included,,,,,,,
food (topic) and energy (topic) and self-sufficiency (topic),"Reddy, MG; Reddy, BS; Padakandala, SR",Biofuels production through food and fodder crops: is it a viable option for sustainable energy security? Reflections from the fields in the Indian state of Madhya Pradesh,DECISION,10.1007/s40622-015-0085-1,"With self-sufficiency levels of crude oil being a distant dream and given India's growing energy demand, biofuels has emerged as an important option for policymakers. This paper reviews the experiences of biofuels' cultivation and its impact on land use, environment, and livelihoods of rural communities in the light of emergence of jowar and bajra as alternative feedstocks. Empirical data collected during 2013 in the Indian state of Madhya Pradesh is used to analyze the present economics and future implications for success of these crops as viable alternatives. Findings indicate that use of major staple food crops such as jowar and bajra for biofuel production might not be feasible given the economies of scale, even as they would have a lasting impact on the",Y,Y,India,Other Asia,"economic feasability; examining current (at the time) land use patterns in small scale farm holdings; economic viability with opportunity costs, no spatial analysis",No,Not considered,Not included,,,,,,,
